tta1,tta2,tta3,tta4,tta5,tta6,tta7,tta8,tta9,tta10,tta11,tta12,tta13,tta14,tta15,tta16,tta17,tta18,tta19,tta20,tta21,tta22,tta23,tta24,tta25,tta26,tta27,tta28,tta29,tta30,tta31
-0.02432,-1.063,0,-0.249,0,0,-1.896,2.757,0,2.831,0,-1.9,0,0,0,0.8361,1.925,0,-0.927,0,0.3687,0,0,-1.757,0,0,-1.366,0,0,-0.5841,-3.559
0,-1.109,0,0.4373,-0.5451,0,0.3984,-1.084,0,2.329,0,-2.296,0,0.3704,0,0.323,1.26,0,-0.8304,0,-0.4194,0,0,0,0,0,0,-2.902,0,-0.5594,-3.758
0,0,0,-0.0359,-5.056,0.236,-1.276,1.682,0,3.023,0,-3.054,0,1.059,0,0.8206,1.004,0,-0.849,0,-1.902,0,-0.2631,0,0,0,0,-3.323,0,0,-3.32
0,0,0,0,-1.862,-3.798,-2.587,-1.232,0,1.548,0,-5.835,-2.663,0.3518,-2.555,0.2409,4.102,0,-1.806,0,0,0,0.2114,0,0,0,0,-1.318,1.024,0.1853,-2.076
-5.116,0,-0.01048,0,-1.736,-8.813,-1.237,0,0,1.648,0,-3.207,0,0.3561,-7.257,0,1.287,0,-2.695,0,0,-2.544,-1.138,0,0,0,0.6448,-1.863,-0.03079,0,-3.338
-1.375,0,-5.689,0,-3.276,-4.499,0.7637,-0.7086,0,2.555,0,-6.028,0,0,0,0,2.958,0,-1.605,0,-1.819,0,0,0,0,0,0,-3.611,0,0,-5.349
-3.941,-1.008,-2.625,0,-3.695,-1.097,-1.32,-2.2,0,2.509,0.7343,-1.45,0,0,0,0,0,0,-3.49,0,0,0,0,0,0,-3.812,-0.3491,-2.298,0,0,-6.178
-1.019,-0.03298,0,0,0,0,-2.21,-3.023,0,2.633,0,-4.91,0,-0.7543,0,0,0,0,-4.024,0,0,0,0,0,0.09141,-1.844,-0.01949,-1.446,0,0,-2.511
-6.314,0.5533,-0.86,0,0,0.512,-0.3959,0,0,1.458,0.05902,0,0,0,0,0,0,0,-1.5,0,0,-0.4175,0,0.8373,-1.118,-0.9507,-0.6191,0,1.18,0,0
-2.432,-1.101,1.635,0,0,-2.094,-2.518,0,0,0,0,0,1.498,-0.9505,0,0,0,0,-0.5445,0,0,-1.544,0,1.328,0,0.513,-2.557,0,0,0,-5.265
-1.099,0,-1.065,0,0,-2.379,-3.08,0.01475,0,0,0,0,-0.1738,-1.384,0,0,0,0,-1.671,0,0,-1.319,0,-0.737,0,0,-1.046,0,0,0,-3.541
-2.433,0,-1.552,0,0,-4.914,-2.14,-2.509,0,0,0,-4.46,0,-1.234,0,0.7048,0,0,-2.709,0,0,-7.037,3.498,-1.877,0,0,-2.873,-2.758,0,0.1258,-1.478
-4.565,0,-2.589,0,0,-1.667,0,-2.332,0,0,0,-2.481,-0.7858,-0.2239,0,0.7821,0,0,-1.291,0,0,-3.675,1.348,-1.641,-1.281,0,-1.196,-2.867,0.4987,-1.742,-4.989
0,0,-7.179,0,0,-1.73,0,-2.82,0,-0.6311,0,-1.98,-1.129,0.1764,-0.2888,0.9706,0,1.084,-2.567,-0.2289,0,-2.081,1.493,-2.294,0.5068,0,-1.621,-1.216,0.8513,0,-1.874
0,0,-1.238,0,0,-0.3451,0,0.02042,0,0.6228,-1.106,-3.263,-2.161,0.32,-7.423,2.16,0,0.7348,-0.4719,0,-2.67,-5.379,0.6398,0.6683,0.3591,0,-1.23,-3.797,0.2974,0,-1.942
0,0,-7.572,0,-0.9997,-1.865,-4.228,0,0,1.484,-4.99,-2.298,-1.993,0,0,1.823,0,0,0,0,-8.937,0,0,-0.7436,0,0,-1.494,-6.608,0,0,-2.637
0,0,-3.704,0,-6.52,-1.011,-5.877,0,0,0.7839,0,-6.451,0,0,0,1.807,0,0,-0.1819,-1.509,-4.567,0,0,-1.251,0,0,0,-1.875,0,0,0
0,0.08291,-2.521,0.1419,-3.97,-4.453,0,0,0,0.8668,0,-0.8608,0,-1.548,0,1.301,0,0,0,-1.476,1.261,0,0,-0.9922,-1.09,0,0,-0.4354,0,0,0
0.5478,0,-6.379,0,-4.201,0,0,-0.9969,0,0,0,-0.6679,0,-1.201,0,0.8886,0,0,0,-0.5728,0,-5.019,0,-2.903,0,0,0,0,0,0,-1.292
-9.039,0,-2.744,0,0,0,0,-4.191,0,0,0,-3.516,0,0,0,0,-0.08764,0,0,-0.2542,0,0,0,-1.178,0,0,-1.237,0,0,-0.6822,-2.911
-2.475,0,-1.702,0,-6.783,0,0.2046,0,0,0,0,-8.039,0,0,0,0,-3.084,0,-1.301,-1.756,0,0,0,0,0,0,0,-3.062,0,0.6713,-2.929
-1.291,0,-3.153,0,-0.472,0,-1.981,-2.333,0,0,-0.7486,-3.225,-0.7906,0,0,0,1.744,0,-0.8016,-1.497,1.299,0,0,-1.506,0,1.325,0,-6.62,0,-0.9402,-2.89
-5.239,0,-2.392,0,0,0,-2.238,0.05501,0,0,0,-2.758,0,0,0.8139,0,1.651,0,-2.167,-1.61,-1.623,0,0,-1.311,0,0.6859,0,-1.901,0,0.8901,-4.834
-1.439,0,-6.194,0,-3.438,0,0,-6.366,0,1.092,-4.736,-6.827,0,0,-4.277,0,3.455,0,-2.235,-2.36,-2.253,0,0,-1.294,-1.705,1.677,0,-3.356,0,-0.1981,-1.937
-7.262,0,-0.9465,0,-2.077,0,0,-2.131,0,0.8206,-2.566,-1.401,0,0,0,0,3.524,0,-1.252,-0.3406,-7.169,0,0.7288,-0.4218,-0.04183,0,0,-3.328,0,-1.099,-2.35
-11.09,0,0,0,-6.491,-2.198,0,-5.408,0,1.81,0,-3.699,0,0,0.2386,0,1.381,0,-1.771,-0.2178,-3.449,-2.253,0,0,0.3342,0,0,-3.945,0,-0.1152,-4.373
-3.032,0,0,0,-0.5765,-1.541,-1.511,0,0,1.26,0,-3.86,0,0,0,0,3.202,0,-1.353,-2.237,-3.87,-5.321,-0.1538,0,0,0,0,-1.151,0,0,-1.766
-2.211,0,0,0,0,-7.74,0,0,0,1.08,-2.459,-2.347,0,-0.765,0,0,3.324,0,-1.942,-2.477,-5.409,-1.528,0.1874,0,0,0,1.192,-2.81,0,0,-3.2
0.3264,0,0,0,0,0,0,-0.5908,0,0.0941,-7.488,-2.775,0,-1.385,0,0,0,-2.197,-1.199,-2.146,0,-2.653,0.717,0,0.567,0,1.255,-3.421,0,-3.365,-1.298
-5.559,0,0,0,0,-1.143,0,-1.482,0,0,-1.589,0,0,0,0,0,0,-2.355,-2.153,-0.6355,0,-0.8738,0,0,-0.6039,0,-0.5325,-2.501,0,-0.4773,1.093
-9.101,0,-0.7554,0,-2.24,0,-2.533,-5.066,-1.775,0,-1.414,0,0,0,0,0,0,0,-1.623,0.2329,0.6927,0,0,0,-0.9083,0,0,-0.9895,-0.5434,0,-0.1857
-3.902,-1.568,-4.226,0,-4.152,0,0,0,-1.708,0,-4.229,-4.292,-0.5368,0,0,0,0,0,-2.055,0,-2.235,0,0,0,0.0566,-0.9979,-0.7298,-0.6351,1.693,0,-6.651
-1.944,0,-3.541,0,-1.056,0,0,0,0,0.1338,-5.603,-3.83,0,0,0,0,0,0,-1.767,-1.358,-3.262,-1.273,-0.06875,0,0,-1.725,0,-3.495,4.191,0,-2.47
-5.083,-1.179,-2.524,0,0,0.05682,0,0,0,-1.582,-4.408,-4.2,0,0.5654,-0.868,0,0,0,-2.538,-1.542,-1.525,-3.297,0,-1.469,-0.07259,0.3771,0,-6.192,2.918,0,-2.625
-3.033,0.4185,-2.262,0,0,-2.315,0,0,0,-0.4796,0,-2.781,0,1.414,-0.7963,0,2.223,0,-2.122,-0.6852,-1.851,-3.965,0,-1.635,-1.219,0,0,-1.816,2.54,0,-1.459
0,0.6706,-2.031,0,-0.958,-3.724,0,0,0,0,-2.222,-5.976,0,0,0,0,-0.48,0,-1.651,-1.041,-2.255,-0.1822,0,-2.461,-3.388,0,0,-2.048,2.983,0,-7.559
0,1.24,-3.453,0,-3.12,-0.9242,-1.783,-6.987,0,0.2928,0,-1.62,-1.324,0,0,0,0.9478,0,-1.903,-0.3175,-0.8055,0.9381,0,-2.427,0.3945,0,0,-0.857,0,-0.3104,-1.244
0,0.1618,0,0,-1.294,-2.315,-0.4225,-2.583,1.221,0,0,-0.5436,-2.786,0,0,0,0,0,-0.4268,-1.04,-3.757,0,2.128,-1.278,-0.0001082,0,0,-1.368,0.201,0,-6.252
1.34,0,-5.12,0,0,-1.277,0,-4.627,0.9185,0,-3.54,0,-1.382,0,0,0,0,-1.496,-0.6475,-0.6645,-1.819,0,-1.193,-0.9509,-1.346,0,0.01662,-3.753,0.6507,0.2079,-0.378
0,0,-1.688,0,-5.218,3.33,0,-4.573,-0.7642,1.93,-2.805,-0.8318,0,0,0,0,2.416,0,0,0,-1.034,-2.648,0,0,-1.095,0,-1.911,-1.551,1.035,0,-1.806
0,0,-4.225,0.3313,0.1918,0,-0.53,-0.6421,0,1.297,-0.9832,-7.515,0,0,-1.829,0,2.314,0,-0.09367,0,-0.8711,-3.964,0,0,0.212,0.107,-1.93,-4.28,2.083,0,-2.716
-2.76,0,-4.22,0,0,0,0,0,0,0,0,-1.126,-0.4971,0,-1.308,0,3.186,0,-2.012,0,-4.634,-2.683,0,0,-0.8729,1.501,-2.203,-7.894,2.025,0,-0.8604
0,0,-7.339,0,-0.7206,-2.993,-1.423,0.4505,0,0.06669,0,-4.049,0,0,-3.181,0,2.772,0,-1.441,0,-1.02,-2.278,2.944,0,-0.7361,-0.57,-2.043,-4.881,1.685,0,-3.141
0,0,-1.89,0,-4.911,0,-2.193,0,0,0.6843,0,-1.556,0,-1.194,-2.495,0,2.752,0,-0.993,0,-7.562,-3.113,4.039,0,-1.05,-2.031,-0.9461,-4.361,1.68,0,0
0,0,-4.664,0,-2.974,0,-5.881,-1.871,0,0.7045,0,0.1196,0,0,-3.511,0,0,0.1266,-1.218,0,0,0,3.301,0,0.2144,-2.229,-0.6959,0,1.71,0,0
-0.8764,0,-1.623,0.03699,-4.205,0,-2.599,-1.729,0,1.105,0,0,-1.003,0,0,0,0,0,-1.08,0,0,0,0,0,0,-1.211,-3.409,-7.643,1.854,0,-0.1242
0,0,-5.233,0.2976,0,0,-3.351,-2.066,-0.5315,0,0,0,0.01389,0.8029,0,0,0,0,0,0,-3.571,0,0,0,0,0,-0.8896,-0.5385,0,0,-4.153
0,0,-1.403,0,0,0,-1.357,0,0,0,0,-1.804,0,0,0,-0.204,0,0,0,0,-2.41,0,0,0,0,-0.6071,-1.494,-4.789,-1.071,0,-2.158
0,0,-0.7658,0,1.071,0,0,0,0,0.03323,0,-0.08425,0,0,0,0,1.599,0,-2.833,0,-0.2694,0,0,-1.993,0,0,-0.8334,-1.268,0.5713,0,-2.311
0,-0.6228,-4.954,0,-2.654,0,0,0,0,1.486,-3.096,0,0,0,0,0,0,0,-0.587,-0.6024,-0.7075,0,0,-3.156,0,0,-0.7318,-2.792,0.09873,0,0
0,0.4334,-6.026,0,0,0,0,0,0,3.315,-2.815,0,0.4325,0,0,0,0,0,-0.8249,0,-3.231,0,0,-2.361,0,0,0,-1.352,0.5651,0,0
