beta0,beta1,y_p
225.1,-3.079,155.1
221.5,-2.524,218.7
218.8,-2.349,167.8
220.4,-3.124,150.5
211.9,-4.176,145.9
219,-2.889,176.7
221.6,-3.197,126.8
222.7,-3.71,159.6
212.3,-3.222,146
228.3,-3.143,154.6
226.4,-3.245,171.7
225.2,-3.218,205.7
227.3,-2.43,198.4
219.1,-3.995,134
220.9,-3.394,163.2
225.6,-3.201,130.1
220.3,-3.341,129
218.7,-3.919,135.7
218.4,-3.695,111.5
220.3,-3.177,165.4
224.2,-2.954,166.4
225.9,-2.694,109.9
222.8,-3.826,200.6
218.2,-2.894,149.9
230.3,-2.641,159.2
221.6,-3.04,178.1
225.8,-2.843,128.3
212.7,-3.341,130.6
224.3,-2.951,156.6
223.3,-3.369,154.3
220,-3.132,215.7
218.2,-2.723,184.6
223.9,-3.687,108.3
227.1,-3.084,180.1
221.5,-4.046,168.1
222.8,-3.289,148.6
219.5,-2.661,171.9
221.6,-3.437,122
223.3,-3.231,215.4
217.7,-2.971,155.7
223,-3.399,139.6
216.8,-2.96,113.7
221.9,-3.768,163.2
214.9,-2.549,144.6
224.2,-3.767,185.9
224.9,-2.643,195.6
216.4,-3.456,97.72
227.9,-3.651,220.2
221.2,-3.628,136
226.4,-3.938,162.1
216.8,-3.038,169.9
227.3,-3.175,246
224.8,-2.851,206
226.9,-3.091,136.6
216.8,-4.13,106.3
227.5,-2.579,135.1
219.9,-3.444,150.3
217.9,-2.87,129.8
221.1,-2.835,143.6
219.1,-3.964,145.8
222.9,-3.054,170
218.4,-3.05,156.4
226.1,-3.16,184.3
226.1,-3.727,160.1
215,-3.288,148.1
225,-2.995,217.2
215.9,-3.485,168
226.4,-4.557,109.7
226.5,-2.21,136.9
223,-3.414,132
205.3,-3.669,192.3
221.8,-2.266,179.9
227.2,-2.647,136.1
223.4,-4.349,117.6
215.1,-3.644,127.3
226.6,-3.611,195.5
224.7,-3.765,181.6
222,-2.399,215
215.3,-3.16,43.89
225.8,-3.724,152.6
220.8,-4.083,136.9
227.7,-3.246,208.6
209.6,-3.115,159.2
219.4,-3.964,133.5
223.1,-3.229,153.4
225.8,-3.559,135.8
214.2,-3.419,139.4
222.1,-2.475,269.7
212,-2.69,158.6
225.8,-3.007,162.4
215.7,-3.707,136.1
220.8,-4.415,127.8
215.5,-2.365,152.9
222.1,-3.28,218.9
231.6,-3.723,172.1
219.7,-3.293,156.2
219.5,-3.466,118.3
216.7,-3.404,111
215.2,-3.628,141.9
214.9,-3.467,162.2
221.2,-2.97,195.9
224.8,-2.934,170.1
214.9,-3.046,124.7
217.9,-2.884,152.9
218,-3.39,163.5
220,-3.25,187.4
219.2,-3.074,155.6
214.5,-3.404,93.09
213,-3.124,151.2
217.7,-3.032,126.3
219.2,-3.534,107
219.9,-3.474,121.6
230.1,-3.483,168.9
224.6,-2.986,221.4
224,-2.74,213
219.7,-2.163,191.3
222.2,-3.929,261.8
226.7,-2.114,215.1
223.7,-3.214,114.2
215.8,-3.12,164.7
217.9,-3.095,147
221,-3.561,161.9
220.5,-3.304,127.9
217.7,-3.739,132.4
215.8,-3.384,131
223.7,-2.942,244.2
222.8,-3.749,198.5
226.8,-2.669,219.1
216.7,-4.454,63.03
223.6,-3.53,160.4
215.7,-3.335,168.2
222,-3.358,132.9
231.1,-3.51,163.5
214.1,-3.774,98.51
218.7,-3.422,201
223,-3.066,146.1
220.3,-3.158,165.9
206.5,-3.775,160.3
220,-3.316,227.5
220.1,-3.551,177.6
219.9,-2.87,125.9
220.7,-2.37,152.8
218,-4.515,157.4
222.8,-3.221,209.2
219.1,-4.286,165.6
222.6,-2.538,130.1
210.4,-2.726,127
220.1,-2.532,143.7
225.4,-3.033,169
223.4,-2.055,227.4
219.7,-2.703,116.9
213.6,-2.62,146.4
216.9,-3.127,256.4
211.5,-3.167,103.4
219.1,-3.446,172.8
230.3,-2.355,192.4
218.3,-3.988,159.2
211.4,-2.752,152.1
222.6,-2.959,115.5
214.4,-3.217,118.1
217.5,-3.367,94.81
216.7,-3.49,97.14
220.2,-3.313,182.5
206.3,-3.294,112.2
222.9,-4.322,150.1
228.1,-3.593,141.7
223.6,-2.434,144.2
221.6,-1.955,163.4
224.1,-3.114,174.6
222.3,-2.905,168.9
232.9,-2.883,129.7
235.4,-3.665,154.5
212.8,-3.722,154.1
221.9,-3.311,186
216.5,-3.789,148
217.5,-3.635,178
222.7,-3.59,186
219,-3.073,147.8
222.6,-2.641,196.3
222.2,-4.183,131.2
221.3,-3.022,186.6
220.3,-2.687,156.8
215.4,-2.085,210.9
215.4,-3.173,150.6
219.8,-4.078,73.52
224.4,-3.095,148.1
222.2,-3.349,153
220,-2.945,169.1
226.4,-3.315,159
223.7,-2.714,137.2
225.4,-3.613,201.3
217.6,-4.141,112.1
217.7,-3.503,206.7
220.2,-3.533,179.4
230.7,-3.091,149.9
226.3,-3.963,139.5
223.1,-3.607,199.8
222.5,-3.736,183.6
212.7,-3.148,143.9
219.6,-4.096,115.7
217.2,-3.445,154
224.2,-4.694,179.1
209.2,-3.966,109.9
208.9,-3.619,149.8
230.1,-3.668,189.6
223.5,-3.488,185.7
221.6,-3.293,151.1
218.8,-3.715,205
219.1,-3.1,112.9
219,-4.337,117
229.7,-2.782,193
224,-2.597,203.7
223.1,-3.221,120.2
221.7,-3.557,128.4
221.5,-2.61,165
224.1,-3.772,166.6
223.2,-3.189,199.8
220.6,-3.499,171.2
216.2,-3.486,124.9
220.6,-3.385,187.4
221.6,-2.886,169.7
217.4,-2.583,171.4
223.6,-3.037,118.6
222.4,-3.108,137.7
216.3,-3.256,135.4
224.7,-3.212,144
229.4,-1.984,187.8
220.6,-2.927,161.5
227.4,-3.857,138.8
218.8,-3.603,107.8
214.2,-4.371,125.9
219.7,-3.337,159
224.8,-3.54,224.8
223.7,-2.933,174.6
215.1,-2.866,180.8
214.8,-3.295,187.8
221.5,-3.356,119.5
225.1,-3.008,145.6
224.9,-3.25,177.8
221.5,-2.196,166.6
216.3,-3.6,123.1
220.6,-2.902,185.6
219.4,-3.579,155.9
224.1,-2.744,203.7
220,-3.142,132.5
223,-3.344,173.3
220.2,-2.619,204.5
210.6,-3.028,160.1
223,-3.342,174.1
228,-2.68,192.1
221,-3.818,168.9
215.1,-2.849,187.6
221.8,-4.015,121.5
220,-2.307,201.7
223.8,-3.069,186.6
227.2,-4.11,125
209,-2.758,143.6
219.3,-3.557,135.3
217.6,-3.361,171.6
223.6,-2.496,160.6
221.4,-3.215,201.1
210.6,-2.657,95.83
224.8,-3.622,190.6
223.2,-3.127,186.5
219.5,-3.464,144.3
216.5,-3.376,130.3
223.1,-2.968,150
217.4,-3.217,157.2
221.7,-3.576,164.4
212.5,-2.826,200.2
223.3,-2.523,183.4
217.6,-3.192,161.7
218.1,-3.12,130.8
221.5,-3.562,178.8
222.9,-3.611,111.8
214.6,-2.929,143.3
221.6,-2.77,111.6
226.1,-4.112,195.1
219.2,-3.389,132.4
221.4,-2.758,208.7
220.5,-3.711,96.87
224.7,-3.263,169.1
230.3,-1.878,124
208.7,-3.068,149.7
221.2,-2.37,172
221.5,-3.17,163.6
213,-3.376,125.4
212.7,-4.248,173.8
222.4,-2.41,161.5
218.1,-2.929,167.4
216,-2.836,169.3
223.6,-3.632,115.5
228.9,-3.647,178.9
224.4,-3.544,145.7
222.8,-3.729,79.63
222,-3.926,125.3
221.6,-3.113,197.8
223.8,-2.487,181.9
216.9,-3.424,142.2
224.1,-3.137,154.1
222.7,-3.492,129
217.9,-3.379,149.8
224.9,-3.303,142
220.2,-2.831,124.8
223.3,-3.415,144.9
217.4,-2.62,173.4
223.7,-3.808,81.02
229.3,-4.828,90.67
217.5,-1.254,211.9
224.1,-1.498,223
210.5,-2.702,132.2
226.3,-3.215,162.1
221.7,-3.206,171.8
220.7,-3.072,132.7
230,-3.602,134.2
227.6,-4.383,140.6
218.5,-3.109,122.4
230.8,-2.883,130.4
206.2,-3.174,79.47
221.4,-1.518,213.4
225.1,-2.62,145.8
217,-2.983,123.1
207.9,-2.508,173
217.6,-3.07,160.6
217.4,-3.001,189.8
216.8,-3.49,204.9
213.9,-4.072,171.2
224.3,-2.738,180.3
221.7,-3.884,125.4
221.4,-2.637,213.5
222.3,-2.396,137.8
224,-3.085,121.7
231.4,-3.118,162.9
224.8,-4.199,182.7
214.8,-3.16,155.6
219.9,-2.69,187
220.7,-2.468,159.9
220.8,-3.188,108.9
219.1,-3.613,172.2
214.7,-2.757,150.2
228.9,-2.658,179
218.1,-4.144,109.1
220.7,-3.981,132
216.3,-2.896,134.3
223.4,-3.879,178.4
215.9,-3.19,150.5
224.4,-3.529,191.9
224.1,-2.986,134.7
218.1,-4.211,140.7
223,-3.234,186.7
227.4,-3.544,130.1
218.3,-3.696,155.5
219.9,-3.65,179.8
225.5,-2.299,222.4
216.3,-3.092,159.5
224.1,-2.964,128.1
221.6,-3.606,175.3
223.5,-2.935,124.4
221.4,-2.841,159.8
223.9,-3.152,151.8
224.1,-2.501,199.3
230.9,-3.406,191.2
226.3,-3.612,155
220.2,-3.682,143.7
220.9,-3.088,213.2
224.8,-3.186,152.1
216,-3.647,143.3
214.9,-2.988,161.4
216.4,-3.589,171.7
218.1,-3.37,153.8
218,-4.204,168.1
224.5,-3.682,124
221,-3.669,147.1
226,-2.528,133.5
222.1,-3.266,159.6
215.8,-3.092,138.4
223.8,-2.51,159.7
223.3,-3.473,156.6
220.4,-2.861,138.7
227.6,-2.374,190
224.9,-3.598,190.2
220.7,-3.461,137.4
222.1,-2.86,153.5
221.9,-3.57,129.4
219.1,-3.053,156.4
228,-4.448,138.2
223.4,-3.168,111.6
209.3,-3.159,216.4
217.4,-2.722,164.6
215.4,-2.551,179.3
222.7,-2.925,137.1
219.9,-2.723,193.2
218.5,-3.727,199.1
219.4,-3.827,125.2
219.1,-3.482,153.1
219.4,-3.162,135.7
230.1,-3.266,151.8
228.4,-4.084,171.4
224.9,-2.554,133.7
219,-3.452,158.8
219.9,-2.788,156.5
229.2,-3.47,190.7
220.3,-3.179,154.4
218.5,-3.511,174.3
224.1,-3.129,141
220.8,-3.277,167.1
224.1,-3.673,149.4
214.8,-3.57,108.8
218.7,-3.195,160.4
229.1,-2.735,187.9
218.1,-2.964,166.7
221.8,-3.48,98.26
220,-2.066,264.5
219.9,-2.412,155.5
225.3,-2.683,222
222,-2.568,197.7
223.2,-3.006,134.7
229,-3.663,144.8
221.7,-3.399,179.4
222.3,-3.598,110.5
221.4,-3.732,132.1
236.6,-4.193,155.2
225.4,-2.25,201
224,-2.393,174.5
227.4,-2.936,157.5
227.7,-3.232,190.9
230.9,-3.105,195.4
229,-3.273,160.1
219.9,-2.564,133.6
223.5,-2.622,136.3
221.6,-3.137,131.8
223.1,-2.755,124.6
228.7,-3.592,162.3
224.8,-3.467,143.6
226.9,-4.184,177.3
230.5,-2.264,249
221.9,-3.213,152.5
217.2,-3.855,188.3
221.8,-4.195,126.5
220.2,-3.821,176.7
228.8,-3.333,139.6
220.2,-3.219,131.5
221.7,-3.137,162.7
217,-3.129,142.5
223.6,-3.279,118
223.3,-4.05,166.9
212.1,-3.215,170.8
223.5,-2.942,152.3
210.4,-3.662,74.81
222.9,-2.315,169.4
214.8,-3.741,134.7
220.8,-3.48,160
224.8,-3.317,95.79
217.8,-2.669,166.6
225.2,-2.647,201.6
220.3,-3.93,158.3
211.7,-3.854,131.4
229.9,-4.552,205
231.9,-2.82,151.9
219.1,-3.308,155.7
233.7,-2.307,288.1
220.4,-2.423,207.2
219,-3.069,167.8
213,-2.927,168.7
217.8,-3.391,164.6
221.4,-2.271,176.6
218.6,-3.7,114.8
221.9,-3.974,151.7
223.1,-2.615,190.2
220,-4.187,112.2
217.9,-3.204,143.6
219.1,-2.608,141.9
228,-3.339,168.8
219.5,-3.928,156.9
222,-3.805,163.2
227.5,-3.694,165
215.9,-3.172,209.4
223.3,-3.03,167
221.1,-3.108,136.4
216.1,-4.164,181.2
217.3,-3.298,140
223.4,-2.537,117.3
222.5,-1.722,229.9
221.2,-3.08,184.3
231.5,-4.016,128.1
219,-3.096,193.2
229.3,-4.304,159.5
218.2,-3.119,157.6
224,-3.647,122.7
221.3,-2.607,174.6
208.3,-3.109,175.3
219,-3.973,163.1
216.3,-3.868,170.2
223.6,-3.723,147.3
228.8,-3.496,162
227.5,-3.355,138.8
225.7,-3.688,84.73
220.5,-2.097,218.5
213.9,-2.476,168.5
221,-2.893,161.1
222.7,-4.262,153.8
220.8,-3.737,119.7
224.9,-3.423,214
222.4,-3.04,165.8
221.5,-4.385,99.16
217.9,-3.024,155
231.1,-3.625,190.5
208.2,-4.064,58.5
227.7,-2.977,173.7
221,-3.824,172.7
224.8,-3.128,163.7
217.9,-2.648,146.1
213.9,-3.495,162.8
221.9,-3.222,151
217.9,-3.26,200.1
215.8,-2.484,210.3
218.1,-3.744,156.8
219.6,-3.467,191.2
217.5,-3.132,152.9
211.6,-3.017,153.6
216.6,-2.987,189.5
216.3,-4.015,107.9
231.5,-3.363,128.2
222.4,-2.865,167.7
218.8,-1.873,242.2
216.6,-3.468,153.4
214,-2.884,117.3
221.4,-3.02,197.2
219.7,-3.872,145.7
224.3,-3.713,126
222.9,-3.095,142.6
216.1,-3.023,183
221,-3.373,150.5
222.5,-3.274,112.9
215,-2.314,166.9
227.9,-2.819,200.4
224,-3.395,119.7
220.5,-3.515,66.86
222.8,-3.194,134.2
228.2,-2.994,115.2
224.2,-3.207,137.8
220,-2.428,163.2
221,-4.654,154.5
219.1,-3.331,207.3
219.5,-3.748,146.8
215.8,-3.655,128.9
218.1,-4.448,142
221.9,-3.197,174.1
226.1,-2.468,142.6
212.3,-3.118,144.2
218.9,-2.915,230.1
221.7,-3.371,154.9
219,-2.794,161.7
208.6,-3.308,119.6
225.9,-3.334,188.9
225.3,-3.574,177.8
215.2,-2.935,119.7
221.6,-3.491,102.4
201.5,-4.205,120
224.8,-3.936,148.2
225.5,-2.688,116.9
222.2,-2.968,195.2
223.9,-3.75,96.98
207.2,-4.157,100.9
209.1,-3.322,104.2
223.3,-3.29,147
226.4,-2.388,180
222.3,-3.478,158.2
219.8,-3.431,118
223.2,-3.192,174.6
224.4,-2.545,193.4
218.3,-2.849,200.8
221.3,-3.703,109.1
227.8,-4.336,35.36
229,-4.264,128.6
218.5,-2.751,147.4
228,-4.033,176.3
221.9,-3.222,182.6
227.2,-3.609,98.45
222.5,-2.77,148.3
221,-3.67,148
219.3,-3.047,125.4
221.8,-3.513,196.9
222.8,-2.652,174.7
227,-3.175,171.1
213.5,-3.059,124.7
222.6,-3.055,168.5
219.5,-3.327,109.6
221.7,-3.38,203.5
216.7,-3.153,154.5
216.3,-3.705,105.2
214.1,-3.463,123.9
226.9,-3.822,143.8
224.9,-2.344,130.1
225.3,-3.273,220.1
224.6,-2.392,154.6
216.2,-2.844,173.3
211.4,-3.371,160.4
226.3,-2.772,199.9
216.6,-2.814,158.1
230.3,-3.07,162
225.7,-3.408,145.7
213.9,-3.584,126.7
208.7,-3.102,163.6
238.3,-2.938,197.9
219.4,-3.663,117.3
228.5,-3.507,168
220.5,-3.198,107
225.3,-3.461,142.6
233.2,-2.728,196.9
221.6,-3.516,147.9
213.1,-3.978,118.7
223.1,-3.439,146.8
219.7,-3.708,148.5
220.3,-2.893,152.6
216.8,-3.591,94.11
216.2,-3.336,187.5
215.9,-3.421,166
223,-3.865,167.9
222.6,-3.543,164.1
225,-2.608,167.2
217.6,-2.672,156.5
217.2,-2.992,156.4
222.2,-3.585,122.6
216,-2.643,166.8
214.6,-3.867,149.6
216.4,-4.222,127.8
221.7,-4.627,144.4
229.7,-2.959,182.6
224.9,-3.996,122.7
217.2,-3.634,144.9
220.1,-3.726,153.6
225.6,-3.736,113.5
218.8,-3.859,200.3
220,-3.339,208.9
225.9,-2.631,138.1
213.4,-3.526,118.1
214.8,-3.111,165.4
223.7,-2.779,208.6
227.7,-3.78,174.4
222.1,-2.78,141.3
223.1,-3.941,171.3
224.3,-3.667,116.2
221.3,-3.301,139.2
221.1,-2.75,174.3
229,-4.051,117.3
218.4,-4.003,115.7
231.3,-3.281,211
224.7,-3.218,213.5
226.5,-2.56,186
223.9,-3.423,117.2
213.7,-3.949,96.71
214.3,-3.498,128.9
218.1,-2.3,187.8
216.9,-2.298,186.8
225.8,-3.574,211.9
228.2,-3.152,166.5
222.5,-3.534,155.9
215.2,-3.239,134.3
228.3,-3.83,88.13
212.7,-2.675,112.7
223.8,-2.547,178.9
215.4,-2.483,161
213.8,-3.379,196.7
225,-2.257,213.6
220.5,-3.52,143.9
219.1,-2.896,199.7
228.2,-1.31,209.6
228.2,-2.596,147.8
217.5,-2.215,140.6
214.2,-2.888,99.82
220.4,-4.303,151.9
225.5,-4,127.3
216.6,-4.107,119.6
