beta0,beta1,yp
221.7,-2.075,234.8
217.5,-3.182,120
222.2,-3.018,155.7
215,-2.986,167
218.1,-3.18,170.9
219.2,-2.842,176.3
212.5,-4.375,172.3
214.7,-4.204,180.9
218.5,-3.353,168.7
221.4,-3.982,66.88
222.5,-2.717,201.1
219,-3.256,149.1
222.1,-3.141,158.5
223.7,-3.352,129.2
226.8,-4.102,131
228.4,-4.143,75.75
220.4,-3.129,162
223.4,-2.479,139
220.7,-3.522,178.8
227.8,-3.029,155.8
218.6,-3.049,137.2
223.9,-2.542,156.5
215.3,-2.808,211.7
216.7,-3.553,170
226.9,-3.943,117.3
220.5,-3.024,201.5
219,-2.755,183.7
223.6,-3.452,190.7
224.1,-3.414,207.7
219.8,-3.201,106.8
211.4,-3.649,140.8
227.4,-3.942,142.3
223.3,-2.931,190.5
212.5,-3.281,126.2
227.3,-3.557,133.9
220.8,-2.664,152.6
219.5,-3.392,144
225.7,-3.054,168.9
220,-3.327,151
221.2,-3.015,154.2
211.1,-3.441,126.8
226,-3.318,166.5
224.5,-2.979,175.8
221.2,-3.05,107.7
217.8,-3.114,160.5
218.7,-3.626,130.4
222.4,-4.024,167.1
217.7,-4.324,108.5
223.6,-3.168,175.1
220.5,-3.325,174.8
215.4,-3.842,111.4
216.2,-3.738,168.8
224.7,-3.477,125.7
219.8,-2.827,181.8
219,-3.08,188.5
223.4,-2.799,87.24
214.6,-2.847,134.7
215.3,-2.862,168.3
229.9,-3.149,127.5
225.3,-3.276,135
229.8,-2.922,164.8
210.3,-3.022,181.7
214.5,-2.849,140.3
229.5,-2.499,220.5
219.3,-2.328,147.5
224.6,-3.477,170.3
218,-3.772,161.5
226.1,-2.859,210.2
221.5,-3.015,126.8
219.8,-3.346,181.4
222.9,-3.294,118.8
222.9,-3.668,146.5
228.5,-3.538,175.1
218.6,-2.561,158.3
211.7,-2.761,135.1
221.9,-3.3,121.4
217.6,-4.008,142
219.8,-2.878,154
218.6,-3.984,145.4
219.6,-2.714,158.6
225,-2.99,195.6
213.9,-2.733,161.3
222.1,-3.306,128.3
223.1,-4.292,153.8
218.6,-2.839,116
226.6,-4.725,146.1
216.4,-3.095,176.6
229.7,-4.146,146.2
215.7,-2.592,129.9
221.9,-3.289,187.8
224,-3.53,180.8
221.5,-3.559,175.6
226.4,-3.562,169.8
222.7,-3.44,197.1
229.4,-3.041,186.8
220.7,-3.553,127.5
216.9,-3.724,154.8
225.7,-3.713,127.2
222.4,-3.416,203.6
220.3,-3.101,113
220.1,-3.106,125.3
222,-4.291,130.6
221.3,-3.227,196.7
213.8,-2.905,165.3
223.9,-4.173,158.2
214.2,-3.17,170.2
221.6,-4.147,148.9
222.7,-2.77,151.6
214,-3.496,165.9
216.2,-3.489,180.1
220.2,-3.702,179.4
216.8,-3.676,168.8
226.7,-3.125,146.6
224.1,-3.669,126.1
224.8,-2.733,148.8
212.5,-3.507,150.7
215.2,-3.597,85.9
223.7,-3.457,151
223.7,-3.85,139
219.7,-3.478,141.9
210.8,-3.263,180.2
227.8,-3.325,129.2
222.9,-3.959,208.5
228.3,-2.994,144.3
230.7,-2.675,179.3
210.4,-3.18,179
225.9,-3.216,174.4
217.5,-3.401,148.4
223.7,-3.365,130.8
230.8,-3.955,166.6
215.8,-3.836,136.1
216.4,-2.208,167.6
217.1,-2.501,193.9
221.7,-3.027,173.6
