beta0,beta1,yp
220.1,-3.412,161.9
225.1,-3.202,129.7
219.8,-3.34,128.6
218.2,-3.915,135.4
218,-3.69,111.7
219.9,-3.179,165
223.8,-2.958,165.9
225.4,-2.701,109.2
222.1,-3.827,199.9
217.5,-2.893,149.2
229.8,-2.643,186.7
219.1,-3.437,145.5
211.8,-3.497,140.5
217.4,-2.981,123.3
217.1,-3.701,137.8
222.3,-3.046,163.5
217.9,-2.952,190.5
223.7,-3.009,172
219,-3.136,173.2
226.5,-2.743,162.8
220.9,-4.011,161
221.9,-3.439,184.8
221.4,-3.23,154.4
219.4,-2.996,164.2
229.7,-3.618,160.7
224.7,-3.981,166.3
223.8,-3.927,152.2
215.5,-2.772,91.24
219.4,-3.531,178.6
213.2,-3.914,143.3
225.6,-2.976,160.2
224,-3.746,145.8
223.2,-2.743,239
223.9,-3.39,133
219.9,-3.593,149.5
211.1,-3.938,204.2
222.4,-2.57,196.6
225,-3.239,169.5
222.1,-2.442,227.6
215.4,-3.86,83.05
215.6,-2.649,139.8
217.8,-3.417,140.8
214.8,-2.926,142.3
220.6,-3.283,179.9
217.8,-3.75,124.2
223.9,-3.258,162
221.7,-3.573,170.4
224.4,-2.904,174.5
224.8,-2.605,121.5
220,-3.431,214.4
224.5,-3.339,133.6
219.7,-3.257,184.7
214.4,-3.047,187.5
218.1,-3.614,94.98
225.1,-2.391,125
222.6,-3.434,132.1
205.2,-3.655,190.7
221,-2.295,178.5
226.1,-2.662,136.6
222.8,-4.297,119.1
214.9,-3.625,128.4
225.8,-3.594,200.2
224.6,-3.828,174.3
221.4,-2.574,204
215.8,-3.182,154.2
216.6,-3.313,189.2
214.2,-3.008,166.1
222.7,-3.802,149.4
220.7,-2.685,178.1
218.9,-3.927,133.6
222.7,-3.228,153.6
224.9,-3.535,139.6
220.3,-3.011,197.3
220.9,-3.153,87.36
226.3,-2.862,184.1
223.7,-4.417,118.2
207.5,-2.483,152.6
223,-2.551,179.8
209.4,-2.143,135.1
229.6,-3.8,164.2
220.4,-2.199,239.9
216,-3.642,128.2
220.4,-3.271,135
225.1,-2.926,148.1
228.8,-3.665,202.4
219.8,-3.575,134.6
220.7,-2.935,195.6
224.3,-2.938,169.5
214.3,-3.048,124.4
217.4,-2.886,152
217.5,-3.862,144.5
225.3,-3.056,163.1
238.6,-2.926,122.5
223.7,-2.648,198.6
212.5,-3.113,141.3
220.7,-4.125,133.8
219.2,-3.165,148.2
211.6,-3.533,76.4
228.5,-3.465,167.8
223.9,-2.981,225
224.1,-3.633,202.3
218.7,-1.989,194.2
221.2,-3.954,258.8
225.8,-2.129,212.8
223.2,-3.216,115.6
215.7,-3.127,164.1
217.6,-3.103,142
222.3,-2.553,204.8
224.2,-2.814,155.4
216.2,-3.599,175.7
219.1,-3.423,161
216.3,-3.289,154.3
217.1,-3.466,193.5
229.7,-3.193,180.8
232,-3.851,175.9
218.9,-3.24,129.8
215.4,-3.263,168.8
221.5,-3.357,132.7
230.4,-3.508,162.7
213.8,-3.764,96.36
222.6,-2.362,171.1
223.5,-2.99,182.6
216.8,-3.865,114.8
225.3,-3.434,180.6
218.2,-2.849,183.2
209.3,-2.824,158.7
213.6,-3.321,133.7
210,-2.095,180.2
218.5,-4.21,138
219,-2.391,206.9
210.9,-2.908,134.3
218.1,-3.846,137.2
225.3,-3.501,132.2
224.3,-3.238,174.6
220.7,-3.066,152.6
217.1,-3.871,132
214.9,-3.775,124.8
214.8,-3.869,151.2
234.7,-4.082,108.6
225.1,-3.15,111.6
213.5,-3.031,108.3
215.9,-3.946,127.6
230.1,-2.43,149.8
223.9,-3.527,142.6
226.2,-3.447,103.9
223.7,-3.557,165.9
220,-3.599,97.9
216.3,-3.472,75.03
219,-3.325,182
205.1,-3.294,110.2
222.4,-4.35,149.4
227.6,-3.602,140.6
223.1,-2.41,189.1
210.3,-3.119,151.2
225.3,-2.709,198.4
220.9,-3.293,165.4
223.9,-4.312,115.2
218.7,-3.599,213.8
223.4,-2.579,199.8
223.5,-3.669,133.1
221.6,-3.637,154.2
221.9,-3.647,177
223,-2.588,152.1
223.1,-4.442,130.6
220.8,-3.013,193.5
221.7,-4.408,126.4
220.9,-3.022,186.2
219.8,-2.684,156.2
214.8,-2.077,210.8
214.8,-3.172,150
219.4,-4.077,72.72
223.8,-3.094,147.6
221.8,-3.349,152.5
219.3,-2.941,167.4
225,-3.31,188.6
223,-4.058,177.9
216.6,-2.974,156.8
222.1,-3.044,150.6
218.1,-3.041,174.7
222.9,-3.202,132.3
210,-3.828,106.8
221.2,-3.644,188.4
225.2,-2.873,138.5
213.3,-3.424,110.9
208.6,-3.704,114.9
218.9,-3.028,167.7
223.5,-3.319,207.7
222.1,-4.291,105.5
213.5,-3.365,184.3
208.7,-2.61,127.1
221,-3.309,140.9
227.3,-3.678,149.8
223.4,-3.349,163.9
223.6,-3.997,130.8
221.3,-4.007,180.9
220.5,-2.306,209.3
223.7,-2.947,173.8
220.2,-3.086,164.5
213,-3.21,112.3
220.6,-1.604,212.8
209,-3.003,221.9
220.6,-2.878,156.2
220.3,-3.948,116.3
219.5,-3.744,136.7
216.9,-3.322,137.9
208.5,-3.215,173.7
222.9,-4.279,178.5
223.5,-2.888,143.5
212.3,-3.135,117.3
220.9,-3.477,205.5
217.9,-2.936,144.2
219.4,-3.437,170.1
222.4,-3.976,141.8
219.7,-2.919,160.8
227.1,-3.861,138.3
218.3,-3.607,106.5
213.5,-4.391,164.1
211.2,-2.779,158.8
212.5,-2.74,161.1
225.5,-2.541,146.6
214.9,-2.884,130.9
222.4,-4.149,140.6
216.3,-3.061,119.7
224.7,-3.005,145.1
224.5,-3.25,177.6
221,-2.182,166.2
