Y X
0 1.9823
0 2.8549
0 2.7966
0 3.2707
0 3.1255
0 1.9085
0 3.2982
0 2.7152
0 2.3324
0 2.7875
1 2.1173
0 1
0 3.0481
0 2.4886
0 3.1738
0 1.8129
0 2.959
0 2.5999
0 2.8357
0 2.4425
0 3.1553
0 2.4871
0 2.9952
0 1.1461
0 2.7789
1 1.0792
0 3.3021
0 2.1106
0 3.0128
0 2.4409
0 2.7938
0 3.2625
0 2.7396
1 1.7993
0 3.0314
0 2.2405
0 2.937
0 2.891
0 3.086
0 2.8035
0 1.8976
0 3.3553
0 2.1271
0 3.3168
0 3.0278
0 2.5647
1 0.699
0 1.9777
1 1.3617
0 1.5798
1 1.2553
0 2.1553
1 2.1139
0 2.5911
0 2.6304
0 1.3802
0 2.29
0 2.6522
1 1.5185
0 2.0899
0 1.7709
0 2.2014
1 1.3617
0 1.9031
0 1.8261
0 2.2923
0 2.6776
0 2.3502
0 1.5682
0 2.3522
0 2.8169
1 2.0792
0 2.0294
0 1.2304
0 1.9731
0 2.3263
0 2.3522
0 1.9294
0 1.9777
1 1.7853
1 2.1761
1 1.8261
0 2.2833
0 2.0043
0 1.959
0 2.1584
1 2.3945
0 1.1761
0 2.4362
0 2.1399
1 2.4518
1 1.0792
1 1.3617
0 1.6532
0 2.0719
0 1.415
0 1.3617
1 1.8325
0 1.8388
1 2.1461
0 2.0492
0 2.6274
1 2.0792
1 1.7076
1 2.3522
0 2.7752
0 1.2788
0 2.0294
1 1.3802
1 2.2304
0 1.6721
0 1.716
0 2.9165
0 2.1303
1 2.3345
0 1.8573
0 1.9731
0 2.2553
1 2.1303
0 2.0531
1 1.1761
0 1.5911
1 1.7324
0 1.8633
1 1.3979
1 2.4232
0 1.7853
0 1.5682
1 1.8808
1 2.1139
1 0.9542
1 1
1 1.3424
0 2.3139
0 2.4728
0 2.1367
0 2.2405
1 1.2788
0 2.8325
0 2.0043
0 2.0531
0 1.4314
0 1.6435
1 1.7782
0 2.1931
0 1.9085
1 1.6021
1 2.0086
0 2.7451
0 1.3424
0 1.6532
1 1.9912
1 2.1673
0 1.9085
0 2.6053
1 1.6435
0 2.6785
0 2.2041
0 1.7634
0 2.1399
1 2.356
0 2.0374
1 2.2227
0 1.7634
0 1.9138
0 2.6875
1 2.0414
1 1.2304
1 1.9138
0 2.4065
0 2.8669
1 1.8808
1 0.9031
1 2.1271
1 1.8633
0 1.5441
0 2.3692
1 1.9823
0 1.8573
0 2.6532
0 1.8692
1 1.0414
0 2.4281
1 1.5441
0 2.3075
0 2.85
1 2.0531
0 2.1847
0 2.1492
1 2.143
0 1.7482
0 1.9638
0 1.9395
0 2.4031
1 2.3598
0 2.0719
0 1.699
0 1.5682
0 2.8222
1 1.9542
1 1.6628
0 2.2989
0 2.1875
0 1.2553
0 2.017
0 2.2923
0 2.4346
0 2.0043
0 1.959
0 2.4955
0 1.8808
0 2.3747
0 2.6435
0 2.3617
0 2.4829
0 1.7634
0 1.7243
0 2.8344
0 2.7723
0 1.1461
1 1.1461
0 2.7118
0 2.29
0 1.9912
0 0.8451
1 1.3222
0 2.0719
1 1.8261
0 2.0334
1 1.7076
0 2.1271
1 1.5315
0 2.2175
1 2.4378
1 2.2878
1 1.6128
0 2.3304
0 2.9375
0 1.9294
0 2.0934
0 2.1239
0 1.7076
0 2.281
0 2.1761
1 2.1703
0 2.1461
0 2.1004
1 1.301
0 1.6021
0 1.9445
0 1.9685
1 2.2304
0 2.3139
1 1.9445
1 2.4969
0 1.9823
0 2.4786
1 1.415
1 1.6721
1 2.0414
0 1.3979
1 1.4914
0 1.7243
0 3.0282
0 2.1335
1 1.8573
0 1.4624
0 1.5798
0 2.3075
0 2.1206
1 0.699
0 1.7324
1 1.6902
0 1.301
0 2.1644
1 1.301
1 1.716
1 1.9085
0 1.7924
1 1.9731
0 1.8195
0 2.0294
0 1.7076
0 1.7709
1 1.4771
1 1.959
0 1.9191
1 2.2148
1 1.6902
1 1.8451
0 2.6599
0 1.9085
1 1.8388
0 2.238
1 1.7324
1 2.4099
0 1.7482
0 2.1106
1 2.1461
0 2.8774
1 1.5911
1 2.4548
1 2.4232
1 1.8921
1 2.4298
0 2.9149
0 2.4314
0 2.1399
0 2.2279
1 0.699
1 2.0645
0 3.2815
0 1.7782
0 1.8325
0 1.7076
0 2.2945
1 1.9868
1 0.9031
0 2.3636
0 1.5563
0 1
0 1.6532
1 1
0 1.7482
0 2.1335
0 2.2504
0 2.0682
0 2.1271
0 2.3404
0 1.7324
1 1.6532
1 2.0934
0 1.6812
1 1.4771
0 2.1523
1 1.7853
1 1.1461
0 2.1004
1 1.4624
1 2.0212
0 1.1139
0 2.3927
0 1.6721
0 1.8129
0 1.9243
0 2.1271
1 1.7634
0 1.7404
1 1.9345
1 2.4362
0 2.1492
1 2.4425
1 1.7709
1 2.1903
0 1.1139
0 2.1367
1 1.5911
1 1.7993
0 1.6812
0 1.415
1 2.143
0 2.4281
0 1.699
1 1.0792
0 2.3979
1 1.959
1 1.6232
0 1.8388
0 1
1 1.2788
0 1.8751
0 1.7709
0 2.3692
0 2.4133
1 2.4048
0 1.9823
1 2.0128
1 1.1761
1 2.2148
0 1.7482
1 1.9395
0 2.3032
1 2.0645
0 1.2041
1 1.8062
1 1.6721
0 1.3617
0 2.9165
0 1.9445
0 1.1139
1 1.8062
0 1.2788
0 2.017
1 2.5682
1 2.017
0 1.8325
0 2.4914
1 1.6902
1 1.7076
0 2.1673
0 1.8388
1 2.0086
1 1.6902
0 2.3243
1 2.2405
0 2.1335
1 1.1461
0 2.382
0 2.3284
1 1.8451
1 2.0755
0 1.0414
0 1.8692
0 1.5563
0 1.8513
0 1.9191
0 1.4624
0 2.2455
1 2.5011
0 3.3109
1 2.5587
0 1.6902
1 1.1461
1 2.0792
1 1.415
1 2.0212
1 1.7709
0 2.1106
0 1.7559
1 1.5682
0 1.4771
0 2.1038
1 1.9395
1 1.6128
0 1.8261
0 1.8261
0 2.2014
0 1.4624
1 2.0682
0 1.6021
0 1.9031
1 1.0792
1 2.301
1 1.6435
1 2.0414
1 1.8451
1 1.8865
0 2.2227
1 2.0569
0 2.2304
1 2.1847
0 1.959
1 1.3979
1 1.1461
0 2.1903
1 1.6532
0 1.5682
1 1.2553
0 1.4472
1 0.7782
1 1.5563
0 1.8325
0 1.8195
0 1.3979
1 1.9191
1 1.2788
1 2.3617
0 2.3385
0 1.699
0 1.9823
1 1.9138
1 1.3222
1 2.0755
0 1.9395
0 1.4771
0 2.3284
0 1.3617
0 1.7782
1 2.4857
1 1.0792
1 1.8195
1 1.415
0 2.0645
1 1.8129
0 2
0 1.6532
1 1.1761
0 1.4771
0 2.316
0 1.8513
1 1.301
1 1.4472
1 1.8062
1 1
1 1.2304
1 1.2788
0 2.2788
0 2.017
1 1.6721
0 2.3075
0 1.8751
1 1.3617
0 1.9731
1 1.7782
0 1.8865
0 2.2695
1 1.5441
1 1.8808
1 1.7924
0 1.5682
0 2.0969
1 1.4914
1 1.8692
0 1
0 2.248
1 1.415
1 1.1139
1 1.8261
1 1.0414
1 1.5563
1 2.0294
1 1.2304
1 0.9031
1 1.3222
1 1.1761
0 1.9685
1 0.9031
1 1.4914
0 1.301
1 0.699
1 2.0334
1 2.4502
1 2.4969
1 1.2553
1 1.2553
0 1.7482
1 1.4914
1 1.5185
1 1.1461
0 1.301
0 1.4472
1 1
1 1.2041
1 1.699
1 1.0792
1 0.8451
1 1.0792
1 1.5798
0 1.9912
1 1.2041
1 2.5623
0 2.0128
1 0.4771
1 1.6128
1 1.9085
1 1.301
1 1.7924
1 1.8451
1 2.0374
1 1.9731
1 1.2304
1 2.2041
1 2.2878
0 2.5514
1 2.9269
0 2.1553
1 1.0792
1 1.6128
0 1.6628
1 1.6128
0 2.0607
0 3.4024
0 2.1875
0 2.4265
1 2.4048
0 2.8745
1 1.0414
1 1.415
0 2.2625
0 1.5911
1 0.8451
0 3.0273
0 1.1761
0 3.0711
0 2.8021
1 1.9494
0 2.6821
0 2.0043
1 0.699
0 2.5198
1 2.5105
1 1
0 3.2898
0 2.8627
0 2.7846
1 1.9085
1 1.9685
1 1.7243
1 1.0414
0 2.6946
0 2.8189
1 2.0212
1 1.3979
END

